ID,Level,Question,isMCQ,A,B,C,D,Answer,Difficulty,Marks,Subject,Category,Year,School,Exam,Paper,Section,Number,Image,Image File
14,P6,2/5 of Henry's mass is equal to 3/4 of Ian's mass. Express Henry's mass as a fraction of the total mass of both boys.,No,15/23,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,B2,14,No,
15,P6,"Alex, Brendan and Carl saved money in the ratio of 3 : 5 : 7. The difference between the largest amount and the smallest amount is $52. What is the amount that Brendan saved?",No,65,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,B2,15,No,
16,P6,A factory produce 320 soft toys. 60% of them are teddy bears. 25% of the teddy bears are pink. How many pink teddy bears does the factory produce?,No,48,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,B2,16,No,
17,P6,"Mrs Tan backed 3w cupcakes in the morning. She baked 3w + 8 cupcakes in the afternoon. Altogether, she baked 80 cupcakes that day. How many cupcakes did she bake in the morning?",No,36,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,B2,17,No,
18,P6,Tom has some $2 and $5 notes. He has twice as many $2 notes as $5 notes. He has $504 altogether. How many $2 notes does he have?,No,112,-,-,-,A,3.00,3,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,C,18,No,
19,P6,"Calvin and Susie had some game cards at first. Calvin gave 1/4 of his cards to Susie. After that, Susie gave 1/5 of her cards to Calvin. In the end, Calvin had 45 cards and Susie had 36 cards. How many cards did Calvin have at first?",No,48,-,-,-,A,3.00,3,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,C,19,No,
20,P6,A rectangular container measuring 15 cm by 10 cm by 8 cm is 3/4 filled with water. Water from the rectangular container is poured into an empty cubical container of side 9 cm until it is full without spilling. What is the volume of water left in the rectangular container?,No,171,-,-,-,A,3.00,3,Math,Measurement & Geometry,2019,Anglo-Chinese School (Junior),CA1,,C,20,Yes,img_20.png
21,P6,A piece of paper in the shape of a parallelogram ABCD is folded as shown. (a) Find ∠ x. (b)Find ∠ y.,No,21,48,-,-,A&B,3.00,4,Math,Measurement & Geometry,2019,Anglo-Chinese School (Junior),CA1,,C,21,Yes,img_21.png
22,P6,A fruit seller put some apples and oranges into Box A and Box B. The ratio of the number of fruits in Box A to the number of fruits in Box B is 8 : 5. The ratio of the number of apples to the number of oranges in Box A is 1 : 3. 7/10 of the fruits in Box B are apples and there are 72 oranges in Box A. Find the number of oranges in Box B.,No,18,-,-,-,A,3.00,4,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,C,22,No,
23,P6,"In a shop, rulers are sold only in packs. A pack of 6 long rulers costs $8 and a pack of 4 short rulers cost $3. (a) Justin bought an equal number of short and long rulers. He spent $126 more on the long rulers. How many long rulers did he buy? (b) Mabel spent an equal amount of money on the long and short rulers. What fraction of the rulers she bought were short?",No,216,16/25,-,-,A&B,3.00,4,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,C,23,No,
24,P6,Samy and Tim had some money. Samy had 4/5 of what Tim had. They had lunch together at a restaurant and shared the cost of the meal. Tim paid 5/7 of the cost of the meal and had $10 left. Samy used 1/3 of his money to pay for his share. How much did the meal cost?,No,28,-,-,-,A,3.00,4,Math,Number & Algebra,2019,Anglo-Chinese School (Junior),CA1,,C,24,No,
25,P6,Azura has 473 marbles and Lillian has 259 marbles. How many marbles must Azura give to Lillian such that both of them will have the same number of marbles?,No,107,-,-,-,A,-3.00,2,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,A,1,No,
26,P6,Simplify (7x + 4 - 3x) + 6 ÷ 2.,No,4x + 7,-,-,-,A,-3.00,2,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,A,2,No,
27,P6,ABCD is a rhombus. Find ∠DAC.,No,56,-,-,-,A,-3.00,2,Math,Measurement & Geometry,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,A,3,Yes,img_27.png
28,P6,There are some triangles and circles.4 circles are removed. What percentage of the remaining shapes are triangles? Round your answer to the nearest whole number.,No,64,-,-,-,A,-3.00,2,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,A,4,Yes,img_28.png
29,P6,"The figure below is made up of 3 triangles; ADE, BCE and CDE. ADC and BCD are 2 identical right-angled triangles. Point E is the midpoint of Line AC and Line BD. Each statement below is either true, false or not possible to tell from the information given. For each statement, answer TRUE, FALSE or Not possible to tell. (a) In Triangle BCE, BC is the base and BE is the height. (b) The area of Triangle CDE is 1/3 of the area of the whole figure.",No,FALSE,Not possible to tell,-,-,A&B,-3.00,2,Math,Measurement & Geometry,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,A,5,Yes,img_29.png
30,P6,"The average English score of a group of 12 pupils was 78. When 3 pupils left the group, the average score of the remaining pupils became 82. What was the total English score of the 3 pupils who left?",No,198,-,-,-,A,-0.33,3,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,6,No,
31,P6,"The total mass of Alvin, Brian and Calvin is (4n + 9) kg. The mass of Alvin is 2n kg and the mass of Brian is half of Alvin's. (a) What is the mass of Calvin? Give your answer in terms of n. (b) Given n = 35, what is the mass of Calvin?",No,n + 9,44,-,-,A&B,-0.33,3,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,7,No,
32,P6,Samuel baked some muffins. He sold 1/3 of them in the morning and 4/9 of them in the afternoon. He had 36 muffins left. How many muffins did Samuel bake?,No,162,-,-,-,A,-0.33,3,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,8,No,
33,P6,Ali wanted to return a book that was overdue for 6 days. The overdue charges for each book are shown in the table below. Ali had only $0.85. How much more did he need to pay for the overdue charges?,No,0.25,-,-,-,A,-0.33,3,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,9,Yes,img_33.png
34,P6,The ratio of the number of twenty-cent coins to the number of one-dollar coins in a box is 9 : 5. There are 104 more twenty-cent coins than one-dollar coins. What is the difference between the vlaue of the twenty-cent coins and the one-dollar coins?,No,83.2,-,-,-,A,-0.33,4,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,10,No,
35,P6,The figure below shows a rectangl. ABC is an equilateral trangle. The ratio of ∠x to ∠y is 4 : 5. Find the value of ∠z.,No,100,-,-,-,A,-0.33,3,Math,Measurement & Geometry,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,11,Yes,img_35.png
36,P6,Mrs Ng wants to buy the following three toys for her children for Christmas. She has two options for her purchase. Option 1: Use her membership card and get a 15% discount on items that are not on promotion. Option 2: Use a $10 discount voucher to get $10 off her total purchase. Which option should she choose if she wants to enjoy more savings? How much more savings would she enjoy if she chooses that option?,No,Option 2,1.75,-,-,A&B,-0.33,3,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,12,Yes,img_36.png
37,P6,"Water flowed from a tap at the same rate into a rectangular tank measuring 50 cm by 38 cm by 65 cm. At 6 p.m., the height of the water in the tank was 13 cm. At 6.30 p.m., it was 1/2 filled with water. How much water flowed into the tank in one minute?",No,1235 ml,-,-,-,A,-0.33,4,Math,Measurement & Geometry,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,13,Yes,img_37.png
38,P6,"Sulyn filled two types of pails, large and small, with some red paint that she had bought. She filled 3 identical large pails and 4 identical small pails to the brim with 10.1 ℓ of red paint. She could not fill another large pail to the brim with the remaining amount of red paint as she was short of 0.3 ℓ of red paint. Hence, she filled another small pail to the brim and had 0.5 ℓ of red paint left. (a) How many more litres of red paint can each large pail hold than each small pail? (b) How many litres of red paint did Sulyn buy?",No,0.8L,11.7L,-,-,A&B,-0.33,4,Math,Measurement & Geometry,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,14,Yes,img_38.png
39,P6,"A wooden path of length 19.8 m is completely covered with similar wooden planks, following the pattern shown below. The width of the path is 110 cm. (a) What is the breadth of each wooden plank? (b) How many wooden planks were used to cover the entire path?",No,27.5,72,-,-,A&B,3.00,5,Math,Measurement & Geometry,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,15,Yes,img_39.png
40,P6,Nuts were sold at $8 per kilogram. Mrs. Ho spent some money to buy some nuts. She gave 2 1/2 kg of nuts to her neighbours and 1/5 of the remainder to her son. She gave the rest of the nuts equally to her 3 daughters. Each daughter received 1kg of nuts. How much did Mrs. Ho spend to buy the nuts?,No,50,-,-,-,A,3.00,5,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,16,No,
41,P6,"Ping Ting draws some triangles that follow a pattern. The first four figures are shown below.
(a) Study the pattern and complete the table below. (b) What is the total number of trangles in Figure 17? (c) How many unshaded triangels will there be in Figure 25?",No,"15, 10, 25",289,300,-,A&B&C,3.00,5,Math,Number & Algebra,2019,CHIJ St Nicholas Girls' School (Primary),CA1,,B,17,Yes,img_41.png
42,P6,Simplify 14a + 8 - 5a - 7.,Yes,9a + 1,9a - 1,19a + 1,19a - 1,A,-3.00,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,1,No,
43,P6,Find the missing number in 4800 ÷ 3 = 16 x ?.,Yes,10 000,1000,100,10,C,-3.00,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,2,No,
44,P6,Russell had 9/10 ℓ of water. He drank 3/5 ℓ of the water. How much water did he have left?,Yes,15/10 ℓ,14/10 ℓ,4/5 ℓ,3/10 ℓ,D,-3.00,1,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,1,A,3,No,
45,P6,"In the number line below, what is the value of X as indicated by the arrow?",Yes,1/2,7/12,2/3,3/4,C,-3.00,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,4,Yes,img_45.png
46,P6,Rita had 5/8 kg of cookies. She gave away 1/3 of it to her friends. How many kilograms of cookies did she give away to her friends?,Yes,8/15,5/24,7/24,23/24,B,-3.00,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,5,No,
47,P6,Mrs Ang had 3/4 ℓ of milk. She poured all the milk equally into 8 identical bottles. How many titres of milk did she pour into each bottle?,Yes,1/10,5/32,6 2/5,10,A,-3.00,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,6,No,
48,P6,Express 48 m 5 cm in cm.,Yes,485 cm,4805 cm,4850 cm,48 005 cm,B,-3.00,1,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,1,A,7,No,
49,P6,Find the value of 30.36 ÷ 60.,Yes,5.06,0.56,0.505,0.056,C,-3.00,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,8,No,
50,P6,There are 80 oranges in a box. 24 of them are rotten. What percentage of the oranges in the box are rotten?,Yes,24%,30%,70%,76%,B,-3.00,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,9,No,
51,P6,Which of the following is likely to be the mass of a 23-cm toothbrush?,Yes,31.75 kg,3.175 kg,31.75 g,3.175 g,C,-3.00,1,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,1,A,10,Yes,img_51.png
52,P6,A machine printed 1000 worksheets on the ﬁrst day and 800 worksheets on the second day. What was the percentage decrease in the number of worksheets printed from the ﬁrst day to the second day?,Yes,20%,25%,80%,125%,A,-3.00,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,11,No,
53,P6,Aﬁq used 8 unit cubes to form a solid. Which one of the following solids was not possible for him to form?,Yes,1,2,3,4,D,-3.00,2,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,1,A,12,Yes,img_53.png
54,P6,A tank was ﬁlled with 45 ℓ of water at 07 00. Water flowed out from the tank from 07 00 to 08 00 and from 09 00 to 11 00. The tabte below shows the volume of water in the tank from 07 00 to 11 00. Which one of the line graphs best represents the information in the table?,Yes,1,2,3,4,D,-3.00,2,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,1,A,13,Yes,img_54.png
55,P6,Mrs Tay had 3 m of cloth to make 2 piiiow cases. She used 3/8 m of cloth for each pillow case. How much cloth did she have left?,Yes,3/8 m,3/4 m,2 1/4 m,3 1/4 m,C,-3.00,2,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,1,A,14,No,
56,P6,Observe the pattern below. Find the missing number.,Yes,12,16,24,4,B,-3.00,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,A,15,Yes,img_56.png
57,P6,Find the value of 24 + 36 ÷ (6 + 3 x 2).,No,27,-,-,-,A,-0.33,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,16,No,
58,P6,Find the value of 11/12 ÷ 1/3. Express your answer as a mixed number.,No,2 3/4,-,-,-,A,-0.33,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,17,No,
59,P6,Find the missing number in ? ÷ 5 = 10.,No,50,-,-,-,A,-0.33,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,18,No,
60,P6,Find the value of (11 ÷ 4a)/7 when a = 6.,No,5,-,-,-,A,-0.33,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,19,No,
61,P6,"In a school, 55% of the pupils were boys. There were 1600 pupils in the school. How many boys were there?",No,880,-,-,-,A,-0.33,1,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,20,No,
62,P6,Aishah spent 20% of her monthly salary on a tablet which cost $400. How much was her monthly salary?,No,2000,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,21,No,
63,P6,Alex is 1.53 m. Alex is 0.26 m shorter than Brandon. Find the height of Brandon.,No,1.79,-,-,-,A,-0.33,2,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,1,B,22,No,
64,P6,"Rajesh took 1/10 hour to walk 1 complete round of a running track. At this rate, how long will he take to walk 6 complete rounds of the running track?",No,3/5,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,23,No,
65,P6,"Mr Lau bought 9 large pizzas for all his pupils in Primary 6B to share equaliy at a party. Three pupils did not turn up for the party. As a result, each remaining pupil received 3/8 of a pizza. How many pupils did he have in Primary 6B in total?",No,27,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,24,No,
66,P6,Clarice is n years old now. Mrs Tan is 3 times her age now. Find the total sum of their age in 4 years’ time. Express your answer in terms of n.,No,4n + 8,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,25,No,
67,P6,Faizal spent $h on a magazine and $12 more on a book than the magazine. He also boughtapen at $5. He spehtatotal of $25. How much did the magazine cost?,No,4,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,26,No,
68,P6,Sue had 6 packets of chocolate bars. Each packet contained 12 chocolate bars. She repacked all the chocolate bars into bags of 4 or 5 bars. She had 8 bags containing 5 chocolate bars each. How many bags of 4 chocolate bars did she pack?,No,8,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,27,No,
69,P6,"Mr Kim had forgotten his 3-digit passcode for logging into his laptop. However, he remembered that the passcode contained three out of these four digits, 2, 4, 7 and 8. None of the digits was repeated. He tried 247 and 274 but both passcodes were incorrect. At most, how many more passcodes Coutd he make?",No,22,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,28,No,
70,P6,Two numbers add up to 1.52. Both of the numbers are smaller than 1. One of them has 1 decimal place and the other has 2 decimal places. What is the largest possible difference between the two numbers?,No,0.32,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,29,No,
71,P6,"A shop sells pens in three different colours. The table shows the number of pens sold in May for blue and red but not green. (a) In May, 50% of the pens sold were green. How many pens were sold altogether in May? (b) In June, the number of pens sold that were red remained the same but there was an increase in the number of pens sold for the other two colours. Did the percentage of pens sold that were red increase, decrease or remain the same from May to June?",No,240,Decrease,-,-,A&B,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,1,B,30,No,
72,P6,Arfan had 7/8 kg of rice at ﬁrst. He then bought another 1 1/2 kg of rice and used 1/5 kg of rice to cook porridge. How many kiiograms of rice did he have left? Express your answer as a mixed number.,No,2 7/40,-,-,-,A,-0.33,2,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,2,A,1,No,
73,P6,A rectangle measures 14 m by 8 4/7 m. Find the area of the rectangle.,No,120,-,-,-,A,-0.33,2,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,2,A,2,No,
74,P6,Oiivia bought a handbag and was given a discount of 15%. The price of the handbag was $130 before discount. How much was the discount for the handbag?,No,19.50,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,A,3,No,
75,P6,There are four numbers in the box beiow. Which number should be removed from the box to get an average of 11 for the remaining 3 numbers?,No,8,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,A,4,Yes,img_75.png
76,P6,"It takes Mr Lee 4 days to build 8 identical toy aeroplanes. At this rate, how many days will it take Mr Lee to build 12 such toy aeroplanes?",No,6,-,-,-,A,-0.33,2,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,A,5,No,
77,P6,"A ﬂorist had some flowers. 25% of the flowers were carnations, 45% of the flowers were roses, 16% of the flowers were lilies and the rest were tulips. She had 280 tulips. How many flowers did she have altogether?",No,2000,-,-,-,A,3.00,3,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,B,6,No,
78,P6,The table below shows the rental charges of a bicycle. (a) Kelly rented a bicycle from 3.00 p.m. to 5.30 p.m. on Tuesday. How much did she pay? (b) Adele paid $10 when she rented a bicycle. Find the greatest number of hours that she could have rented the bicycle.,No,8.50,3,-,-,A&B,3.00,3,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,B,7,Yes,img_78.png
79,P6,Evan had some money. He spent 1/3 of his money on a bag and a pair of shoes. The pair of shoes cost twice as much as the bag. He had $360 left after spending on the two items. How much did the pair of shoes cost?,No,120,-,-,-,A,3.00,3,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,B,8,No,
80,P6,Ravi had 8 identical pieces of wood each measuring 3/5 m long and 1/8 m wide. He then glued all the pieces of wood together to form the figure below without any overlaps. Find the perimeter of the ﬁgure.,No,4 3/5,-,-,-,A,3.00,3,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,2,B,9,No,
81,P6,"A set of numbers is written on a board. If the number 34 is added to the set of numbers, the average will increase by 1. If the number 58 is added to the original set of numbers, the average will increase by 4. How many numbers are written on the board?",No,7,-,-,-,A,3.00,3,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,B,10,No,
82,P6,"In the ﬁgure below, ABCE is a trapezium with AB parallel to EC. ABDE is a rhombus. AFC and BFE are straight lines. ∠DBC = 46°, ∠BCA = 18° and ∠BDC = 84°. Find ∠BAC.",No,32,-,-,-,A,3.00,4,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,2,B,11,Yes,img_82.png
83,P6,Alex and Billy had d stamps each at ﬁrst. Alex lost 48 stamps. Billy received 130 stamps from his mother. They had 934 stamps altogether in the end. (a) How many stamps did Alex have in the end? Express your answer in terms of d. (b) How many stamps did each of them have at first?,No,d - 48,426,-,-,A&B,3.00,4,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,B,12,No,
84,P6,Leroy had a sum of money at ﬁrst. He spent 60% of his money on a set of storybooks and 25% of the remaining money on a box of crayons. He had $63 left. (a) What fraction of his money did he spend on the box of crayons? (b) How much did he spend on the box of crayons?,No,1/10,21,-,-,A&B,3.00,4,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,B,13,No,
85,P6,"Yumi had 90 more stickers than Martin at ﬁrst. Yumi gave away 90% of her stickers to her sister and Martin gave away 60% of his stickers to his brother. In the end, Martin had twice as many stickers as Yumi. How many stickers did Yumi have at ﬁrst?",No,180,-,-,-,A,3.00,4,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,B,14,No,
86,P6,"A glass tank measuring 45 cm long and 30 cm wide contained some water which couid ﬁll up 5 identical pails completely. After some water was poured out to ﬁll up 2 of the pails compietely, the height of the water ieft in the glass tank dropped to 14 cm. How much water was there in the glass tank at ﬁrst?",No,31500,-,-,-,A,3.00,4,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,2,B,15,No,
87,P6,"A rectangle is made up of 5 triangles, A, B, C, D and E. The area of triangle A is 1/12 the area of the rectangle. The area of triangle C is 1/3 the area of the rectangle. The area of triangle A is equal to the area of triangle E. The area of triangle D is 96 cm2. (a) Find the ratio of the area of triangle C to the area of triangle D. (b) Find the perimeter of the rectangte.",No,1:1,72,-,-,A&B,3.00,5,Math,Measurement & Geometry,2019,Nanyang Primary School,CA1,2,B,16,Yes,img_87.png
88,P6,"The bar graph below shows how Bala spent his monthty allowance in March. The bar for the amount of money spent on ciothes had not been drawn. (a) What is the ratio of the amount of money spent on books to that on meals? Express your answer in the simplest form. (b) The amount of his monthly allowance is 8 times the amount he spent on transport. How much did he spend on clothes? (c) Each statement below is either true, false or not possible to tell from the information given in the bar graph. For each statement, indicate your answer.",No,1:8,50,"Not possible to tell, False",-,A&B&C,3.00,5,Math,Number & Algebra,2019,Nanyang Primary School,CA1,2,B,17,Yes,img_88.png
89,P6,There were 854 973 visitors to the Universal Studio last year. Express this number to the nearest thousand.,Yes,854 000,850 000,855 000,860 000,C,-3.00,1,Math,Number & Algebra,2019,River Valley Primary School,CA1,1,A,1,No,
90,P6,Find the value of 3/4 ÷ 6/7.,Yes,9/14,7/8,1 1/7,1 5/9,B,-3.00,1,Math,Number & Algebra,2019,River Valley Primary School,CA1,1,A,2,No,
91,P6,Express 1.7 as a percentage.,Yes,0.017%,0.17%,17%,170%,D,-3.00,1,Math,Number & Algebra,2019,River Valley Primary School,CA1,1,A,3,No,
92,P6,Which two lines in the square grid below are perpendicular to each other?,Yes,BC and FG,BC and DE,AB and BC,AB and FG,C,-3.00,1,Math,Measurement & Geometry,2019,River Valley Primary School,CA1,1,A,4,Yes,img_92.png
93,P6,Arrange the following distances from the shortest to the longest.,Yes,1,2,3,4,B,-3.00,1,Math,Measurement & Geometry,2019,River Valley Primary School,CA1,1,A,5,Yes,img_93.png
94,P6,Which of the following is most likely to be the mess of a can of coke?,Yes,350 g,350 kg,35 g,35 kg,A,-3.00,1,Math,Measurement & Geometry,2019,River Valley Primary School,CA1,1,A,6,No,
95,P6,The ﬁgure below shows Nuruh standing in a square ﬁeld. She was facing South at ﬁrst. She then turned anti-clockwise to face Point A of the ﬁeld. How many degrees did she turn in the anti-clockwise direction?,Yes,135°,180°,225°,270°,C,-3.00,1,Math,Measurement & Geometry,2019,River Valley Primary School,CA1,1,A,7,Yes,img_95.png
96,P6,Find the value of (8 + p)/2 ÷ p when p = 4.,Yes,6,8,10,20,C,-3.00,1,Math,Number & Algebra,2019,River Valley Primary School,CA1,1,A,8,No,
97,P6,In the ﬁgure. AB and CD are straight lines. Which one of the following statements is true?,Yes,∠a = ∠c,∠e = ∠b,∠a = ∠c + ∠d,∠e = ∠b + ∠c,D,-3.00,1,Math,Measurement & Geometry,2019,River Valley Primary School,CA1,1,A,9,Yes,img_97.png
98,P6,Alan has a weekly allowance of $y. He saves $5 and spends the rest of his allowance in 6 days. What is the average amount of money he spends a day? Leave your answer in terms of y.,Yes,$ (5-y)/6,$ (y-5)/6,$ (y+ 5)/6,$ (y-6)/5,B,-3.00,1,Math,Number & Algebra,2019,River Valley Primary School,CA1,1,A,10,No,
99,P6,The table below shows the charges for renting a bicycie on a weekend. Mr Lim rented two bicycles from 1100 to 1500 on Sunday. How much did he pay altogether for renting the bicycles?,Yes,$20,$26,$40,$52,C,-3.00,2,Math,Number & Algebra,2019,River Valley Primary School,CA1,1,A,11,Yes,img_99.png
100,P6,A square piece of paper was folded along the dotted line as shown betow. Find ∠h.,Yes,20°,30°,50°,70°,A,-3.00,2,Math,Measurement & Geometry,2019,River Valley Primary School,CA1,1,A,12,Yes,img_100.png
101,P6,The price of a concert ticket was $120. There was an early bird discount of 25% and students were given a further discount of $12. How much did one early bird discount student’s ticket cost?,Yes,$78,$81,$90,$108,A,-3.00,2,Math,Number & Algebra,2019,River Valley Primary School,CA1,1,A,13,No,
102,P6,There were some boys and girls in the school hall. An equal number of boys and girls wear spectacles. 1/2 of the girls and 4/7 of the boys do not wear spectactes. What fraction of the children wears spectacies?,Yes,7/15,8/15,6/13,7/13,C,-3.00,2,Math,Number & Algebra,2019,River Valley Primary School,CA1,1,A,14,No,
