,qn_num,pg_num,pdf_name,text,img_path
12,12,11,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_11_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"(1) Fruit of piant M are dispersed by; wind

(2) Plant M grows on tree branches so that it can avoid birds

(3) Plant M gets its food and water from the branches of the tree;

(4) Bird P helps to disperse the seeds of plant M from one tree to another tree.",TempImages/17.jpg
13,13,12,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_12_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"A ‘$0 Ting out water is needed for the plant growth.
B To find out how the amount of water helps in plant growth.
C To find out if the soi in- plot X has more nutrients than the soil in plot Y.(1) 8 ony (2) 5 and © ony
(3) AandC only (47A, Bandc",TempImages/16.jpg;TempImages/18.jpg
14,14,13,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_13_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"14. Rul En hited three menticat containers win. an equal amount of water taken from
a river, All the containers were placed in a well-lit room filled with different number
of similar type of fish and water plants.The water in all ihe containers nave tne same amount of oxygen at the start of
the experiment. After 5 hours, she recorded the amount of dissolved oxygen in
the water in container Y.",;TempImages/21.jpg;TempImages/20.jpg;TempImages/19.jpg
15,15,14,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_14_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"F
|(1)\ A solid has a definite volume and a definite shape. ~
(2) Asolid has a-definite volume but no definite shape.

(3) A solid has no definite volume and no definite shape.
(4). Asolid has no definite volume but has a definite shape.",;TempImages/23.jpg
16,16,15,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_15_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"(3). sting a. box (4). wnnging a wet cioth:
ne \ fy
sg ~~ ON ~~,
t > Ra ee
3° pacientes)
A ieee °[ Penne energy from | Kinetic energy from |
ADB. -—_| 638 _
()F"" __Becrease ~ —}
(2): Decrease | _. Increase
(3) Increase | Increase
(ay 7 Increase | 1 Decrease 1",TempImages/22.jpg;TempImages/25.jpg
17,17,15,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_15_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Which of the following is thesnostimportant property of the material to make the
swimming board?(1) strong

(2) flexible

(3) transparent

(4) cannot sink in water",TempImages/24.jpg
18,18,16,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_16_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Which of the following is irue7G) Xana Z ase sollas at 10°C.

: 2) Yand Z are liquids at 20°C.
(3) Y and Z are liquids at 80°C.
{4) Xand Y are gases at 100°C.",TempImages/27.jpg
19,19,16,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_16_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"20. Substance X was heated for a period of time. The graph below shows the
temperature change of substance X over time during the heating process.",;TempImages/26.jpg
20,20,17,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_17_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"| | BubA BubB |

Another similar bulb, Bulb C, is then connected to the circuit-as shown below.
| BubA BulbB :

[ (Sines. i ,(4) Bulb G does not ight up.

(2) Bulb C is as bright as Bulb A.
(3) Bulb Cis dimmer than Bulb B.
(4). Bulb C js brighter than Bulb A.",
21,21,18,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_18_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"2c. The circuit diagram shows two Dalfenes connected -to four bulbs. When one of
the bulbs fuses, tho other-three bulbs still remain lit. Which bulb is this? .; S)
A,
le RS
| (1) LY
=-8 &
: Oa)",
22,22,18,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_18_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"VVnICh oF ihe following are possibile poles of A and C?| PoleatA_ | “Poleatc |
(1) (South f""Souh ""|
| 2 South | North
(3) [ ——-Nenth nh “North
_ 4) | UT Nonth™ oF South |",TempImages/30.jpg;TempImages/29.jpg;TempImages/28.jpg
23,23,20,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_20_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"‘When the toy car was released at point Y, it would roll down the slope. When

the toy car was released at point Z, it continued to move up the slope. Which

are-tie forces-acting-on'thetoy:car.at points-{ and 22+
bee ee cone
} frictional | magnetic t frictional | magnetic
| __foree gravity force | force gravity force

Mr” 7

Qi

gi 7

(4) pt(1) His weight increases.

(2) More gravity Is pulling the man and the bicycle. .

{3) - There is less frictional force between the bicycle and the slope.

44) The man and the bicycle are moving in the same direction as gravity.26. Three conductors of heat, A, B and C, have been arranged according to how well
they conduct heat as shown below.Good conductor Poor conductor
of heat of heatA nail wih subsiances 4, Y of 2 was giued onto conductors A, B or © at equal
distance from the flame as shown below. Which nail will be the first to drop?",TempImages/32.jpg;TempImages/31.jpg;TempImages/36.jpg;TempImages/35.jpg;TempImages/34.jpg;TempImages/33.jpg
24,24,21,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_21_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"(1) _..,aaeeea «) B
ee(3) pry ro
| AD . @ 1
iy",TempImages/38.jpg
25,25,24,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_24_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Which is the energy‘conversion shown above?{1} _ potential eneroy of boy > kinetic energy of trolley(2) _—ikinetic energy of boy -> potential energy of troliey
~ kinetic energy of trolley(3) potential energy of boy > kinetic energy of boy
> kinetic energy of trolley(4) kinetic energy of boy -> potential energy of boy
~ kinetic energy of trolley ; :29. Simon carried out.an expenment fo study the.effect of some environmental factors
on dead leaves. He placed the dead leaves.and some damp soil in a container as
shown below.{a) Name the process that caused the dead icaves to turn into a damp black
substance. {t](6) Without changing any of ihe appafatus used nor adding water, suggest two.
methods how Simon could make the dead leaves turn into the black substance
faster. _ plain your answer. . 3}",TempImages/37.jpg;TempImages/39.jpg;TempImages/41.jpg;TempImages/40.jpg
26,26,25,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_25_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"30, Ahmad prepared.a set-up to find.out-wheiher. germinating seeds. produce carbon
dioxide. He soaked five seeds in water before placing them in the flask. He Jeft
the set-up in a warm and dark place for two days.After two days, he observed that some of the seeds in the set-up germinated and
a the limewater.turned milky. Limewater turns milky in the presence of carbon. :
“dioxide. . it 7(a) Explain why the limewater turned milky.(6) Some of the seeds did not germinate. What will happen to these seeds after a
week? Explain your answer. . [2]",;TempImages/42.jpg
27,27,26,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_26_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"31. Emily removed the food and waier-carrying tubes trom the stem of a plant at
position P and the food-carrying tubes from the stem at position Q.(a) After some time, Emily observed Inal Leaf X had withered but not Leaf Z.
Give an explanation for her observation. io(b) At the same time, Emily also observed a swelling in the stem above the cut
at position Q. Affer a week, the plant died. Explain why this happened.
uo {1]",;TempImages/44.jpg;TempImages/43.jpg
28,28,27,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_27_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"32, Ali is a dancer. As he aances, his rate of oreathing changes as shown in the
graph below. :
: Ali starts dancing :(1) Volume of air taken InGi} AIS breaining rate",;TempImages/45.jpg
29,29,28,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_28_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"Time of theday ||. Average size of stomata (units)
[a
Te ee

fo bpm
A
(a) Based on the table above, ihe plant photosynthesises the most from 10 a.m.
to 4 p.m. Explain why. {4](b) Explain how the change in the size of the stomata in the presence of light can
be a disadvantage to a plant growing in a desert, fi}(c) What do you think Meimei did in the experiment to ensure that her resllts
were reliabie? . {7}",TempImages/47.jpg;TempImages/46.jpg
30,30,29,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_29_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"34. The food web below shows the food relationships between organisms found on
an island. }_ plant(a) A large. number of snakes were Killed by Some hunters. Explain how this
, activity affected the population of the food producer. ¥ 11](b) A huge forest fire broke out on the Is:and. J wo. consumers were abie to escape
to another island. Which are the two consumers and give a reason for your
answer. -",;TempImages/49.jpg;TempImages/48.jpg
31,31,31,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_31_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"35. Jack conducted an experiment using two similar types. of plants for pots G and H,
with different sizes of leaves. The two pots of plants with the same amount of soil
were placed in a garden and watered with the same amount of water at the start
of the experiment. A transparent glass cone was placed over each plant where
water would be collected al the base as shown.After one day, Jack measured the volume of water collected and recorded the
results as shown below:(a) VVnich pot, © or, collected more water? Explain why more water was
collected at Hts base of the cone.The diagram below shows two types of teaves found growing on different trees, X
and Y. During winter, the water stays frozen as snow on the ground and very little
water reaches the roots of the trees. ,(b) Which tree, X or ¥, will not heed to shed its ieaves Guring winter? :
Explain your answer. ; iy(c) Strong winds can cause tree prancnes to break, Branches of which tree,
X or Y, would more likely break when there js a strong wind? Explain why.
11]",;TempImages/52.jpg;TempImages/51.jpg;TempImages/50.jpg;TempImages/55.jpg;TempImages/54.jpg;TempImages/53.jpg
32,32,32,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_32_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"(a) Explain how the water droplets are formed on the underside of. the plastic
sheet. {2}(bo) What would happen to the rate al which the water droplets are formed if the
temperature of the water placed in the beaker was increased to 95°C?
Explain your answer. 12]",TempImages/57.jpg;TempImages/56.jpg
33,33,33,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_33_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"37. Ahmad set up the foliowing circuit.(a) What is a possibie measurement tor the brightness of the bulb when three
batteries were used? {1](bo) Based on the results, when the number of batteries used is four or below
what is the relationship between the brightness of the bulb and the number of
batteries? {4}(c} Give a reason why the brigniness. of ihe bulb Is zero when five batteries were
used. . {1}",;TempImages/60.jpg;TempImages/59.jpg;TempImages/58.jpg
34,34,35,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_35_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"53. Matinew hag 2 set-ups, A and B, to find out how the type of surface affects
- the distance moved by an object on'the surface. He applied equal force on
each of the blocks and measured the distance. travelled by them.(a) Matthew's teacner said that nis set-ups were incorrect. Descnbe two changes
that. Matthew should make fo Set-up B so that he can test his aim correctly.
(2)(b) Besides friction and the force exeried by Matthew, which other force is
present in this experiment? (1]Matthew now placed two identical diocks, A and B, each on a wooden
surface. He-applied oif onto one-of the wooden'surfaces as shown below, -",;TempImages/61.jpg;TempImages/64.jpg;TempImages/63.jpg;TempImages/62.jpg
35,35,37,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_37_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"39. [he diagram nelow shows iwo Similar sized iron cubes released from point X.
There was a loud thud when the cubes landed on-the cement floor.(a) State the energy conversion when Cube A was released from the height and
landed on the cement floor. : y40. The following set-up is installed along a corridor to count the number of
students walking along the corridor into a classroom. :The following table shows the ght sensor readings when the set-up is
working.When someone walks and

enters the classroom x

along the corridor

'When no one is present. | 300{a} State the value ofA. -(b) Explain how the above set-up iS able to aetect the number of peopie waiking
past the corridor. . . [2]",;TempImages/67.jpg;TempImages/66.jpg;TempImages/65.jpg;TempImages/69.jpg;TempImages/68.jpg
36,36,42,images/P6_Science_SA2_2018_Tao_Nan_Exam_Papers/pg_42_P6_Science_SA2_2018_Tao_Nan_Exam_Papers.jpg,"41, Melting used two fabrics, X and Y, to wrap around similar. containers of hotShe recorded the temperature of the water at reguiar Intervals in the table as
shown below.(b} Which fabric should’ Meiling use to make a shirt to keep a person cooler in a
warm surrounding? Explain your choice. {2)Carbon dioxide is a greennouse gas. An increase in the amount of carbon
dioxide in. the Earth's atmosphere.resulis in.global warming. Study. the three
graphs shown below on the change in the average temperature of the Earth
over a period of time.(c} Which graph, A, B or C, shows the correct change in the average temperature
of the Earth if the amount of carbon dioxide increases over time? Explain your
answer. {1}End of Booxiet BQ29. {a} Decomposition.
th} Method 4: Place the apparatus in a wamery place,
Explanation: ina warmer place, the decomposition would ocevr at a faster vate.
Method 2: Poke more holes to the lid.
Explanation: More air can enter and Increase the sate of decomposition.Q35. ja} When. the seeds germinated, they procuced carbon dioxide which came inte contact with the
. Hmewoter and caused it to turn milky.
(b} The seeds would die and decompose. The presence of warmth, water and alr allowed the bacteria
iu the flask to decompose the dead seeds,Q31. {a} Water can be Hansported from the roots to teaf Z but aot Leaf X, thus Leaf X could not
photosynthesise and hence it withered. :
{b) There Is swelting as the food produced by the plant during photosynthesis cannot be transported
to the rents, causing them to die. Therefore, the roots can no longer absorb water and the plant died.Q32. fa) Qj) The volume of alr taken in Increases. .
{ii} His breathing rate increases. : :
(b) Ali takes in oxygen through his mouth and nose, which enters his lungs where it Is absorbed by the
alr sacs, The heast then pumps the oxygen-rich blood to his legs.O33. {a} ‘Fhe average size of the stomata is the biggest hence the most carbon dioxide istakenin, =~
fb) When there is a huge amount of light, the size of the stomata of the desert plant Increases,
resulting In an increase In the amount of water loss, /
tc) She measured the size of at least 3 stonzata for each timing.Q34. {aj Decreases, There are fewer snakes to feed on rats and fruit bats. Hence thelr population Increases -
and they feed n more plants.
fb} The eagle and fmit bat. Both of them have wings that allow them to fly and escape to another
island, while the rat and sake are unable to fly. .Q35. {a} Pot H. The Jeaves have a digger exposed susfate area. There is more stomate hence more water is
lost. More water vapour condensed Into the cooler inner surface of the cone.
ib) Tree x, The leaves have a smaller exposed surface area. There are fewer stomata, hence the rate
oftranspiration gecreases. /
o Tree ¥. There are smaller gaps between the leaves compared to that of Tree X, thus wind cannot
blow through Tree ¥ as easily ond hence the bronches are more Hkely to break.Q36. {a} The hot weter evaporated to become water vapouw, which condensed on the cooler underside of
the plastic sheet
{b} Increase, Water would evaporate faster and more water vapour would condense on the cooler
‘underside of the plastic sheet.Q37.. [a) 2000 units.
‘{b} As the number of batteries Increases, the brightness of the bulb Increases,
{ There is too muth elecitical energy passing through the circult, causing the bulb to fuse,Q38. (a) (1) Use the same wooden biock as sct-up A. .
{h) Change the glass surface to a meial surface. .
{b} Gravity.
(} «Block B. The of reduced the friction between block Band the wooden surface, thus less force is
required to move.Q39. fa) Gravitational potential -> Kinetic > Sonne
(b) Cube B. it has 2 greater mass than abe A, thus it possess more gravitational potential energy,
which Is converted to more kinetic energy when it fails and hence more sound energy when It lands.Qae. {a) O unit(s}.
tb} When someone walks pass the light sensor, the ight-is blocked as the person Is opaque and the =|
sensor detects 0 units of ight. By recording the number of times the sensor detects no light, the number
of people walking past the corridor can be detected.O43. a) As the time increases, the temperature of the water in the container wrapped with Fabric *
decreases, :
ib) - Fabric Y. The water in the container wrapped with Fabric Y had a lower temperature after 20 .
minutes. Jt Is a better conductér of heat and will increase the amount of heat loss from the person to the
surroundings. .
ic) Graph A, If there is more carbon dioxide, more heat would be trapped in the Earth’s atmosphere
and thus the average temperature of the Earth Increases.",;TempImages/72.jpg;TempImages/71.jpg;TempImages/70.jpg;TempImages/76.jpg;TempImages/75.jpg;TempImages/74.jpg;TempImages/73.jpg;TempImages/78.jpg;TempImages/77.jpg
